52599.12,18504.37,21535.71,11780.10,50576.93,671,-46,-35,15260,-4916,6140,D
61343.28,22426.83,26698.37,23652.39,57725.12,-244,-179,-370,16196,236,4496,T
59130.43,22795.56,14680.85,12598.92,66190.48,-193,-435,479,16700,456,768,V
===================================================================60965.34,20520.83,25381.58,25920.00,58421.05,-583,930,1164,15104,-4736,6608,M
62893.40,21448.93,24346.15,25595.24,61725.00,454,249,85,15412,-5844,3032,N
46135.45,19328.86,12063.49,11275.69,43125.00,-2091,3030,346,14720,-7040,2816,V
===================================================================51717.39,21105.88,12352.94,12500.00,52008.73,2524,-1144,-2438,15420,-5908,-1836,K
47378.05,18651.32,26698.37,28593.75,49474.79,-809,-208,-175,14052,-7992,5164,M
84000.00,21448.93,24857.14,27743.73,48937.50,622,-206,27,12768,-8632,7772,N
35811.26,13898.31,19100.00,18142.55,39803.57,-1324,496,113,12904,-9956,-404,O
73699.42,21710.53,30534.13,33103.45,65340.31,1672,-854,70,13176,-10304,2272,S
56041.67,21105.88,11921.05,11275.69,47632.65,-23,2247,-327,15876,-4860,1340,U
56372.09,19717.19,14228.57,13155.96,39803.57,1254,1470,1066,16000,-5772,4060,V
===================================================================59853.66,19875.00,27983.19,27156.59,50858.37,-5037,-1557,-1750,16284,-28,1684,M
66622.34,21622.91,23750.00,27041.10,57382.08,6599,-597,-4515,15684,896,7992,N
42257.46,16000.00,22335.77,20852.80,52302.63,3146,1544,-1241,16384,-1608,3680,O
75798.82,22982.67,28968.48,12450.81,43125.00,1931,1236,382,15064,-2088,7812,X
===================================================================61343.28,21276.60,12352.94,13104.40,53504.46,-2303,-828,1234,15496,-6400,-1216,K
58421.05,21798.56,34340.84,29868.42,67945.95,-7950,-1252,-5150,14436,-3776,3024,M
66622.34,21622.91,24960.94,26029.41,47378.05,2983,-2379,1372,12600,-6468,9452,N
42905.66,19954.44,12015.85,11921.05,44476.74,1375,-932,-2549,15340,-5912,8,U
===================================================================81509.44,20438.80,31359.52,26250.00,62110.55,3935,607,-128,15484,-4272,7024,R
===================================================================28593.75,17788.46,21798.56,11686.96,32953.12,4005,604,-3539,16196,-3192,6324,D
53811.66,21887.02,36666.67,25170.16,103038.46,-1883,182,-273,15788,-2596,4332,E
58071.43,21535.71,12159.29,12304.27,45413.38,4553,-1239,-2931,6528,13080,7472,H
53504.46,20936.77,11548.44,12698.56,27156.59,270,-693,147,14812,-4372,-3836,K
37551.38,19795.92,25488.13,30132.36,68852.46,-2739,878,1412,15568,-4676,3948,M
64507.77,20114.41,24245.52,29737.61,46135.45,938,151,-784,15688,-4324,4836,N
29349.71,21362.56,28968.48,26698.37,52302.63,6531,188,1731,1660,472,-5812,J
72685.71,21975.90,11686.96,12159.29,34660.20,639,1190,-2330,16200,-3456,2196,K
65340.31,22335.77,25170.16,31081.08,48148.15,-6429,-2383,-2258,14844,-368,9380,N
72685.71,25170.16,30399.41,22065.22,34821.43,2411,-1182,-764,16136,1020,5036,T
66190.48,18651.32,11640.63,12111.31,48672.20,2632,-1336,-652,16620,-136,1752,U
===================================================================68852.46,21191.04,27041.10,28717.95,76339.29,277,239,-167,14852,-5448,6720,M
61343.28,22518.34,24447.30,27506.93,64507.77,987,-480,93,15024,-3976,7068,N
59490.29,21448.93,11826.92,11141.40,60965.34,148,-201,-348,15228,-4936,5584,U
54121.62,21276.60,14509.62,13575.42,53504.46,337,-280,-316,15220,-4420,5736,V
===================================================================65340.31,21535.71,28470.25,29094.83,52302.63,380,-742,127,14960,-4464,7296,N
38096.89,16189.02,24447.30,19252.23,46626.50,1823,-516,-626,14348,-7196,4816,O
57725.12,20357.14,11826.92,11052.63,49205.02,-103,-128,-189,15772,-4132,4708,U
60591.13,19252.23,15937.50,14117.65,50021.19,427,-44,-44,15200,-3220,6720,V
===================================================================27041.10,20034.25,22702.70,28470.25,47125.50,-32768,3160,6019,14556,-2044,7228,J
63290.82,22982.67,28347.46,20603.25,44708.17,-1016,869,-403,16416,-1716,3880,T
55068.49,19638.82,11780.10,11502.59,58071.43,215,33,-75,16104,-2720,4112,U
===================================================================84000.00,23171.64,25702.92,26250.00,61343.28,713,-926,-138,15772,-2000,5648,N
38653.85,16062.75,25488.13,19175.95,46875.00,248,-575,-138,15672,-3540,4340,O
64921.88,24447.30,34340.84,32803.74,65340.31,503,122,-63,16176,-2188,4224,S
===================================================================56705.61,20936.77,14509.62,12900.00,56372.09,-26,361,-404,15972,-2308,5204,V
===================================================================
